,date,deaths_new_dod,deaths_pvax,deaths_fvax,deaths_vax
0,2020-03-17,2,0,0,0
1,2020-03-18,0,0,0,0
2,2020-03-19,0,0,0,0
3,2020-03-20,1,0,0,0
4,2020-03-21,4,0,0,0
5,2020-03-22,4,0,0,0
6,2020-03-23,5,0,0,0
7,2020-03-24,2,0,0,0
8,2020-03-25,3,0,0,0
9,2020-03-26,5,0,0,0
10,2020-03-27,2,0,0,0
11,2020-03-28,6,0,0,0
12,2020-03-29,5,0,0,0
13,2020-03-30,4,0,0,0
14,2020-03-31,5,0,0,0
15,2020-04-01,2,0,0,0
16,2020-04-02,2,0,0,0
17,2020-04-03,5,0,0,0
18,2020-04-04,3,0,0,0
19,2020-04-05,2,0,0,0
20,2020-04-06,2,0,0,0
21,2020-04-07,1,0,0,0
22,2020-04-08,1,0,0,0
23,2020-04-09,2,0,0,0
24,2020-04-10,3,0,0,0
25,2020-04-11,3,0,0,0
26,2020-04-12,5,0,0,0
27,2020-04-13,1,0,0,0
28,2020-04-14,3,0,0,0
29,2020-04-15,2,0,0,0
30,2020-04-16,2,0,0,0
31,2020-04-17,1,0,0,0
32,2020-04-18,0,0,0,0
33,2020-04-19,1,0,0,0
34,2020-04-20,1,0,0,0
35,2020-04-21,2,0,0,0
36,2020-04-22,2,0,0,0
37,2020-04-23,1,0,0,0
38,2020-04-24,1,0,0,0
39,2020-04-25,2,0,0,0
40,2020-04-26,0,0,0,0
41,2020-04-27,1,0,0,0
42,2020-04-28,1,0,0,0
43,2020-04-29,1,0,0,0
44,2020-04-30,2,0,0,0
45,2020-05-01,0,0,0,0
46,2020-05-02,1,0,0,0
47,2020-05-03,1,0,0,0
48,2020-05-04,0,0,0,0
49,2020-05-05,2,0,0,0
50,2020-05-06,0,0,0,0
51,2020-05-07,1,0,0,0
52,2020-05-08,0,0,0,0
53,2020-05-09,1,0,0,0
54,2020-05-10,1,0,0,0
55,2020-05-11,0,0,0,0
56,2020-05-12,1,0,0,0
57,2020-05-13,2,0,0,0
58,2020-05-14,0,0,0,0
59,2020-05-15,0,0,0,0
60,2020-05-16,0,0,0,0
61,2020-05-17,0,0,0,0
62,2020-05-18,1,0,0,0
63,2020-05-19,0,0,0,0
64,2020-05-20,0,0,0,0
65,2020-05-21,1,0,0,0
66,2020-05-22,0,0,0,0
67,2020-05-23,0,0,0,0
68,2020-05-24,0,0,0,0
69,2020-05-25,0,0,0,0
70,2020-05-26,0,0,0,0
71,2020-05-27,0,0,0,0
72,2020-05-28,0,0,0,0
73,2020-05-29,0,0,0,0
74,2020-05-30,0,0,0,0
75,2020-05-31,0,0,0,0
76,2020-06-01,0,0,0,0
77,2020-06-02,0,0,0,0
78,2020-06-03,0,0,0,0
79,2020-06-04,1,0,0,0
80,2020-06-05,1,0,0,0
81,2020-06-06,0,0,0,0
82,2020-06-07,0,0,0,0
83,2020-06-08,0,0,0,0
84,2020-06-09,0,0,0,0
85,2020-06-10,1,0,0,0
86,2020-06-11,1,0,0,0
87,2020-06-12,2,0,0,0
88,2020-06-13,0,0,0,0
89,2020-06-14,0,0,0,0
90,2020-06-15,0,0,0,0
91,2020-06-16,0,0,0,0
92,2020-06-17,0,0,0,0
93,2020-06-18,0,0,0,0
94,2020-06-19,0,0,0,0
95,2020-06-20,0,0,0,0
96,2020-06-21,0,0,0,0
97,2020-06-22,0,0,0,0
98,2020-06-23,0,0,0,0
99,2020-06-24,0,0,0,0
100,2020-06-25,0,0,0,0
101,2020-06-26,0,0,0,0
102,2020-06-27,0,0,0,0
103,2020-06-28,0,0,0,0
104,2020-06-29,0,0,0,0
105,2020-06-30,0,0,0,0
106,2020-07-01,0,0,0,0
107,2020-07-02,0,0,0,0
108,2020-07-03,0,0,0,0
109,2020-07-04,0,0,0,0
110,2020-07-05,0,0,0,0
111,2020-07-06,0,0,0,0
112,2020-07-07,0,0,0,0
113,2020-07-08,0,0,0,0
114,2020-07-09,0,0,0,0
115,2020-07-10,1,0,0,0
116,2020-07-11,0,0,0,0
117,2020-07-12,0,0,0,0
118,2020-07-13,0,0,0,0
119,2020-07-14,0,0,0,0
120,2020-07-15,0,0,0,0
121,2020-07-16,0,0,0,0
122,2020-07-17,1,0,0,0
123,2020-07-18,0,0,0,0
124,2020-07-19,0,0,0,0
125,2020-07-20,0,0,0,0
126,2020-07-21,0,0,0,0
127,2020-07-22,0,0,0,0
128,2020-07-23,0,0,0,0
129,2020-07-24,0,0,0,0
130,2020-07-25,0,0,0,0
131,2020-07-26,1,0,0,0
132,2020-07-27,0,0,0,0
133,2020-07-28,0,0,0,0
134,2020-07-29,1,0,0,0
135,2020-07-30,0,0,0,0
136,2020-07-31,0,0,0,0
137,2020-08-01,0,0,0,0
138,2020-08-02,0,0,0,0
139,2020-08-03,0,0,0,0
140,2020-08-04,0,0,0,0
141,2020-08-05,0,0,0,0
142,2020-08-06,0,0,0,0
143,2020-08-07,0,0,0,0
144,2020-08-08,0,0,0,0
145,2020-08-09,0,0,0,0
146,2020-08-10,1,0,0,0
147,2020-08-11,0,0,0,0
148,2020-08-12,0,0,0,0
149,2020-08-13,0,0,0,0
150,2020-08-14,0,0,0,0
151,2020-08-15,0,0,0,0
152,2020-08-16,0,0,0,0
153,2020-08-17,0,0,0,0
154,2020-08-18,0,0,0,0
155,2020-08-19,0,0,0,0
156,2020-08-20,0,0,0,0
157,2020-08-21,0,0,0,0
158,2020-08-22,0,0,0,0
159,2020-08-23,0,0,0,0
160,2020-08-24,0,0,0,0
161,2020-08-25,0,0,0,0
162,2020-08-26,0,0,0,0
163,2020-08-27,0,0,0,0
164,2020-08-28,0,0,0,0
165,2020-08-29,1,0,0,0
166,2020-08-30,1,0,0,0
167,2020-08-31,0,0,0,0
168,2020-09-01,1,0,0,0
169,2020-09-02,0,0,0,0
170,2020-09-03,0,0,0,0
171,2020-09-04,0,0,0,0
172,2020-09-05,0,0,0,0
173,2020-09-06,0,0,0,0
174,2020-09-07,0,0,0,0
175,2020-09-08,0,0,0,0
176,2020-09-09,0,0,0,0
177,2020-09-10,0,0,0,0
178,2020-09-11,0,0,0,0
179,2020-09-12,0,0,0,0
180,2020-09-13,0,0,0,0
181,2020-09-14,1,0,0,0
182,2020-09-15,0,0,0,0
183,2020-09-16,0,0,0,0
184,2020-09-17,0,0,0,0
185,2020-09-18,1,0,0,0
186,2020-09-19,1,0,0,0
187,2020-09-20,0,0,0,0
188,2020-09-21,0,0,0,0
189,2020-09-22,1,0,0,0
190,2020-09-23,2,0,0,0
191,2020-09-24,0,0,0,0
192,2020-09-25,0,0,0,0
193,2020-09-26,1,0,0,0
194,2020-09-27,1,0,0,0
195,2020-09-28,1,0,0,0
196,2020-09-29,0,0,0,0
197,2020-09-30,0,0,0,0
198,2020-10-01,0,0,0,0
199,2020-10-02,3,0,0,0
200,2020-10-03,1,0,0,0
201,2020-10-04,2,0,0,0
202,2020-10-05,3,0,0,0
203,2020-10-06,1,0,0,0
204,2020-10-07,3,0,0,0
205,2020-10-08,5,0,0,0
206,2020-10-09,4,0,0,0
207,2020-10-10,3,0,0,0
208,2020-10-11,3,0,0,0
209,2020-10-12,3,0,0,0
210,2020-10-13,4,0,0,0
211,2020-10-14,4,0,0,0
212,2020-10-15,3,0,0,0
213,2020-10-16,6,0,0,0
214,2020-10-17,6,0,0,0
215,2020-10-18,2,0,0,0
216,2020-10-19,7,0,0,0
217,2020-10-20,4,0,0,0
218,2020-10-21,7,0,0,0
219,2020-10-22,11,0,0,0
220,2020-10-23,9,0,0,0
221,2020-10-24,3,0,0,0
222,2020-10-25,6,0,0,0
223,2020-10-26,2,0,0,0
224,2020-10-27,2,0,0,0
225,2020-10-28,10,0,0,0
226,2020-10-29,4,0,0,0
227,2020-10-30,3,0,0,0
228,2020-10-31,5,0,0,0
229,2020-11-01,4,0,0,0
230,2020-11-02,5,0,0,0
231,2020-11-03,8,0,0,0
232,2020-11-04,7,0,0,0
233,2020-11-05,6,0,0,0
234,2020-11-06,4,0,0,0
235,2020-11-07,2,0,0,0
236,2020-11-08,4,0,0,0
237,2020-11-09,1,0,0,0
238,2020-11-10,2,0,0,0
239,2020-11-11,2,0,0,0
240,2020-11-12,0,0,0,0
241,2020-11-13,3,0,0,0
242,2020-11-14,9,0,0,0
243,2020-11-15,3,0,0,0
244,2020-11-16,3,0,0,0
245,2020-11-17,3,0,0,0
246,2020-11-18,5,0,0,0
247,2020-11-19,4,0,0,0
248,2020-11-20,3,0,0,0
249,2020-11-21,4,0,0,0
250,2020-11-22,4,0,0,0
251,2020-11-23,4,0,0,0
252,2020-11-24,0,0,0,0
253,2020-11-25,4,0,0,0
254,2020-11-26,3,0,0,0
255,2020-11-27,2,0,0,0
256,2020-11-28,5,0,0,0
257,2020-11-29,6,0,0,0
258,2020-11-30,6,0,0,0
259,2020-12-01,0,0,0,0
260,2020-12-02,6,0,0,0
261,2020-12-03,1,0,0,0
262,2020-12-04,1,0,0,0
263,2020-12-05,4,0,0,0
264,2020-12-06,2,0,0,0
265,2020-12-07,4,0,0,0
266,2020-12-08,6,0,0,0
267,2020-12-09,3,0,0,0
268,2020-12-10,8,0,0,0
269,2020-12-11,6,0,0,0
270,2020-12-12,6,0,0,0
271,2020-12-13,2,0,0,0
272,2020-12-14,1,0,0,0
273,2020-12-15,5,0,0,0
274,2020-12-16,3,0,0,0
275,2020-12-17,4,0,0,0
276,2020-12-18,2,0,0,0
277,2020-12-19,4,0,0,0
278,2020-12-20,4,0,0,0
279,2020-12-21,2,0,0,0
280,2020-12-22,5,0,0,0
281,2020-12-23,3,0,0,0
282,2020-12-24,10,0,0,0
283,2020-12-25,4,0,0,0
284,2020-12-26,8,0,0,0
285,2020-12-27,1,0,0,0
286,2020-12-28,8,0,0,0
287,2020-12-29,3,0,0,0
288,2020-12-30,8,0,0,0
289,2020-12-31,7,0,0,0
290,2021-01-01,12,0,0,0
291,2021-01-02,9,0,0,0
292,2021-01-03,8,0,0,0
293,2021-01-04,10,0,0,0
294,2021-01-05,10,0,0,0
295,2021-01-06,17,0,0,0
296,2021-01-07,6,0,0,0
297,2021-01-08,12,0,0,0
298,2021-01-09,8,0,0,0
299,2021-01-10,12,0,0,0
300,2021-01-11,3,0,0,0
301,2021-01-12,10,0,0,0
302,2021-01-13,9,0,0,0
303,2021-01-14,13,0,0,0
304,2021-01-15,14,0,0,0
305,2021-01-16,15,0,0,0
306,2021-01-17,11,0,0,0
307,2021-01-18,16,0,0,0
308,2021-01-19,10,0,0,0
309,2021-01-20,20,0,0,0
310,2021-01-21,15,0,0,0
311,2021-01-22,16,0,0,0
312,2021-01-23,15,0,0,0
313,2021-01-24,11,0,0,0
314,2021-01-25,16,0,0,0
315,2021-01-26,20,0,0,0
316,2021-01-27,16,0,0,0
317,2021-01-28,12,0,0,0
318,2021-01-29,19,0,0,0
319,2021-01-30,13,0,0,0
320,2021-01-31,18,0,0,0
321,2021-02-01,15,0,0,0
322,2021-02-02,14,0,0,0
323,2021-02-03,20,0,0,0
324,2021-02-04,22,0,0,0
325,2021-02-05,8,0,0,0
326,2021-02-06,16,0,0,0
327,2021-02-07,12,0,0,0
328,2021-02-08,23,0,0,0
329,2021-02-09,13,0,0,0
330,2021-02-10,11,0,0,0
331,2021-02-11,13,0,0,0
332,2021-02-12,6,0,0,0
333,2021-02-13,15,0,0,0
334,2021-02-14,9,0,0,0
335,2021-02-15,14,0,0,0
336,2021-02-16,12,0,0,0
337,2021-02-17,7,0,0,0
338,2021-02-18,7,0,0,0
339,2021-02-19,9,0,0,0
340,2021-02-20,8,0,0,0
341,2021-02-21,5,0,0,0
342,2021-02-22,10,0,0,0
343,2021-02-23,10,0,0,0
344,2021-02-24,5,0,0,0
345,2021-02-25,6,0,0,0
346,2021-02-26,3,0,0,0
347,2021-02-27,10,0,0,0
348,2021-02-28,5,0,0,0
349,2021-03-01,4,0,0,0
350,2021-03-02,9,0,0,0
351,2021-03-03,4,0,0,0
352,2021-03-04,3,0,0,0
353,2021-03-05,8,0,0,0
354,2021-03-06,4,0,0,0
355,2021-03-07,5,0,0,0
356,2021-03-08,6,0,0,0
357,2021-03-09,8,0,0,0
358,2021-03-10,7,0,0,0
359,2021-03-11,4,0,0,0
360,2021-03-12,3,0,0,0
361,2021-03-13,3,0,0,0
362,2021-03-14,4,0,0,0
363,2021-03-15,4,0,0,0
364,2021-03-16,3,0,0,0
365,2021-03-17,2,0,0,0
366,2021-03-18,1,0,0,0
367,2021-03-19,1,0,0,0
368,2021-03-20,5,0,0,0
369,2021-03-21,5,0,0,0
370,2021-03-22,2,0,0,0
371,2021-03-23,2,0,0,0
372,2021-03-24,4,0,0,0
373,2021-03-25,2,0,0,0
374,2021-03-26,1,0,0,0
375,2021-03-27,8,0,0,0
376,2021-03-28,3,1,0,1
377,2021-03-29,4,0,0,0
378,2021-03-30,6,0,0,0
379,2021-03-31,9,0,0,0
380,2021-04-01,3,0,0,0
381,2021-04-02,2,0,0,0
382,2021-04-03,5,0,0,0
383,2021-04-04,6,0,0,0
384,2021-04-05,4,0,0,0
385,2021-04-06,3,0,0,0
386,2021-04-07,2,0,0,0
387,2021-04-08,6,0,0,0
388,2021-04-09,7,0,0,0
389,2021-04-10,3,0,0,0
390,2021-04-11,6,0,0,0
391,2021-04-12,11,0,0,0
392,2021-04-13,5,0,0,0
393,2021-04-14,5,0,0,0
394,2021-04-15,4,0,0,0
395,2021-04-16,6,0,0,0
396,2021-04-17,11,0,0,0
397,2021-04-18,8,0,0,0
398,2021-04-19,10,0,0,0
399,2021-04-20,10,0,0,0
400,2021-04-21,9,0,0,0
401,2021-04-22,6,0,0,0
402,2021-04-23,15,0,0,0
403,2021-04-24,8,0,0,0
404,2021-04-25,21,0,0,0
405,2021-04-26,14,0,0,0
406,2021-04-27,10,0,0,0
407,2021-04-28,14,0,0,0
408,2021-04-29,22,0,0,0
409,2021-04-30,21,0,0,0
410,2021-05-01,16,0,0,0
411,2021-05-02,20,0,0,0
412,2021-05-03,23,2,0,2
413,2021-05-04,14,0,0,0
414,2021-05-05,30,1,0,1
415,2021-05-06,28,1,0,1
416,2021-05-07,31,0,0,0
417,2021-05-08,29,2,0,2
418,2021-05-09,21,0,0,0
419,2021-05-10,35,1,0,1
420,2021-05-11,44,0,0,0
421,2021-05-12,50,1,0,1
422,2021-05-13,38,2,0,2
423,2021-05-14,44,1,0,1
424,2021-05-15,48,2,0,2
425,2021-05-16,44,4,0,4
426,2021-05-17,51,3,0,3
427,2021-05-18,58,4,0,4
428,2021-05-19,52,3,0,3
429,2021-05-20,46,2,0,2
430,2021-05-21,60,1,0,1
431,2021-05-22,84,4,0,4
432,2021-05-23,69,4,0,4
433,2021-05-24,66,3,0,3
434,2021-05-25,74,3,0,3
435,2021-05-26,91,7,0,7
436,2021-05-27,63,6,0,6
437,2021-05-28,105,3,0,3
438,2021-05-29,75,1,0,1
439,2021-05-30,109,6,0,6
440,2021-05-31,97,7,0,7
441,2021-06-01,94,8,0,8
442,2021-06-02,87,2,0,2
443,2021-06-03,110,3,0,3
444,2021-06-04,83,3,0,3
445,2021-06-05,90,7,0,7
446,2021-06-06,79,4,0,4
447,2021-06-07,83,2,1,3
448,2021-06-08,73,2,0,2
449,2021-06-09,93,5,0,5
450,2021-06-10,68,7,0,7
451,2021-06-11,66,5,0,5
452,2021-06-12,83,4,0,4
453,2021-06-13,73,5,1,6
454,2021-06-14,91,5,0,5
455,2021-06-15,79,5,0,5
456,2021-06-16,81,5,0,5
457,2021-06-17,81,5,0,5
458,2021-06-18,81,8,0,8
459,2021-06-19,67,4,0,4
460,2021-06-20,75,11,0,11
461,2021-06-21,81,9,0,9
462,2021-06-22,88,10,0,10
463,2021-06-23,84,12,0,12
464,2021-06-24,80,12,0,12
465,2021-06-25,78,12,0,12
466,2021-06-26,87,13,0,13
467,2021-06-27,72,15,1,16
468,2021-06-28,91,10,1,11
469,2021-06-29,91,16,1,17
470,2021-06-30,109,22,0,22
471,2021-07-01,98,12,1,13
472,2021-07-02,107,11,2,13
473,2021-07-03,116,25,1,26
474,2021-07-04,114,19,1,20
475,2021-07-05,100,22,0,22
476,2021-07-06,113,29,0,29
477,2021-07-07,155,32,0,32
478,2021-07-08,158,39,2,41
479,2021-07-09,182,55,5,60
480,2021-07-10,149,35,3,38
481,2021-07-11,184,49,1,50
482,2021-07-12,176,45,3,48
483,2021-07-13,193,48,1,49
484,2021-07-14,179,52,3,55
485,2021-07-15,209,54,2,56
486,2021-07-16,213,58,3,61
487,2021-07-17,262,68,3,71
488,2021-07-18,235,63,4,67
489,2021-07-19,221,63,2,65
490,2021-07-20,275,77,3,80
491,2021-07-21,270,88,10,98
492,2021-07-22,264,92,8,100
493,2021-07-23,289,100,11,111
494,2021-07-24,298,96,14,110
495,2021-07-25,303,93,7,100
496,2021-07-26,268,84,10,94
497,2021-07-27,273,62,12,74
498,2021-07-28,320,98,14,112
499,2021-07-29,288,78,19,97
500,2021-07-30,327,103,9,112
501,2021-07-31,312,103,15,118
502,2021-08-01,326,101,14,115
503,2021-08-02,375,135,18,153
504,2021-08-03,339,111,23,134
505,2021-08-04,306,90,22,112
506,2021-08-05,310,90,23,113
507,2021-08-06,357,115,23,138
508,2021-08-07,333,104,18,122
509,2021-08-08,319,87,21,108
510,2021-08-09,303,89,13,102
511,2021-08-10,406,122,40,162
512,2021-08-11,286,88,19,107
513,2021-08-12,294,104,31,135
514,2021-08-13,263,82,22,104
515,2021-08-14,275,84,28,112
516,2021-08-15,289,104,22,126
517,2021-08-16,291,88,27,115
518,2021-08-17,250,68,21,89
519,2021-08-18,275,82,30,112
520,2021-08-19,257,71,27,98
521,2021-08-20,232,68,24,92
522,2021-08-21,246,64,33,97
523,2021-08-22,302,73,42,115
524,2021-08-23,271,72,28,100
525,2021-08-24,186,52,29,81
526,2021-08-25,234,51,28,79
527,2021-08-26,269,82,31,113
528,2021-08-27,235,70,27,97
529,2021-08-28,238,57,36,93
530,2021-08-29,245,56,36,92
531,2021-08-30,271,53,30,83
532,2021-08-31,255,51,44,95
533,2021-09-01,267,55,49,104
534,2021-09-02,225,61,29,90
535,2021-09-03,216,48,34,82
536,2021-09-04,224,56,28,84
537,2021-09-05,249,64,53,117
538,2021-09-06,232,41,37,78
539,2021-09-07,225,48,26,74
540,2021-09-08,246,50,50,100
541,2021-09-09,209,55,44,99
542,2021-09-10,212,42,42,84
543,2021-09-11,210,48,39,87
544,2021-09-12,224,42,49,91
545,2021-09-13,178,34,32,66
546,2021-09-14,191,47,46,93
547,2021-09-15,207,43,44,87
548,2021-09-16,180,39,53,92
549,2021-09-17,187,41,61,102
550,2021-09-18,166,32,37,69
551,2021-09-19,155,29,40,69
552,2021-09-20,146,50,34,84
553,2021-09-21,150,26,35,61
554,2021-09-22,144,35,35,70
555,2021-09-23,148,25,32,57
556,2021-09-24,146,25,49,74
557,2021-09-25,158,28,45,73
558,2021-09-26,122,28,31,59
559,2021-09-27,129,19,43,62
560,2021-09-28,105,20,35,55
561,2021-09-29,120,15,51,66
562,2021-09-30,126,18,37,55
563,2021-10-01,90,13,31,44
564,2021-10-02,128,11,50,61
565,2021-10-03,97,11,40,51
566,2021-10-04,86,10,35,45
567,2021-10-05,94,12,44,56
568,2021-10-06,84,8,30,38
569,2021-10-07,77,8,27,35
570,2021-10-08,66,8,30,38
571,2021-10-09,48,2,22,24
572,2021-10-10,35,2,16,18
573,2021-10-11,12,4,3,7
574,2021-10-12,0,0,0,0
